District,Name,Party,#,District Wiki URL,Person Wiki URL,Vote on Laken Riley,Vote on Laken Riley Notes,Vote on Laken Riley Points,Vote on H.R.1968,Vote on 1968 Points,,,Sum
Alabama 1,Barry Moore,Republican,2,https://en.wikipedia.org/wiki/Alabama%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Barry_Moore_(American_politician),Yea,,-1,Yea,-1,,,-2
Alabama 2,Shomari Figures,Democratic,3,https://en.wikipedia.org/wiki/Alabama%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Shomari_Figures,Yea,,-1,Nay,1,,,0
Alabama 3,Mike Rogers,Republican,4,https://en.wikipedia.org/wiki/Alabama%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Mike_Rogers_(Alabama_politician),Yea,,-1,Yea,-1,,,-2
Alabama 4,Robert Aderholt,Republican,5,https://en.wikipedia.org/wiki/Alabama%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Robert_Aderholt,Yea,,-1,Yea,-1,,,-2
Alabama 5,Dale Strong,Republican,6,https://en.wikipedia.org/wiki/Alabama%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Dale_Strong,Yea,,-1,Yea,-1,,,-2
Alabama 6,Gary Palmer,Republican,7,https://en.wikipedia.org/wiki/Alabama%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Gary_Palmer_(politician),Yea,,-1,Yea,-1,,,-2
Alabama 7,Terri Sewell,Democratic,8,https://en.wikipedia.org/wiki/Alabama%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Terri_Sewell,Yea,,-1,Nay,1,,,0
Alaska at-large,Nick Begich III,Republican,9,https://en.wikipedia.org/wiki/Alaska%27s_at-large_congressional_district,https://en.wikipedia.org/wiki/Nick_Begich_III,Yea,,-1,Yea,-1,,,-2
Arizona 1,David Schweikert,Republican,10,https://en.wikipedia.org/wiki/Arizona%27s_1st_congressional_district,https://en.wikipedia.org/wiki/David_Schweikert,Yea,,-1,Yea,-1,,,-2
Arizona 2,Eli Crane,Republican,11,https://en.wikipedia.org/wiki/Arizona%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/Eli_Crane,Yea,,-1,Yea,-1,,,-2
Arizona 3,Yassamin Ansari,Democratic,12,https://en.wikipedia.org/wiki/Arizona%27s_3rd_congressional_district,https://en.wikipedia.org/wiki/Yassamin_Ansari,Nay,,1,Nay,1,,,2
Arizona 4,Greg Stanton,Democratic,13,https://en.wikipedia.org/wiki/Arizona%27s_4th_congressional_district,https://en.wikipedia.org/wiki/Greg_Stanton,Yea,,-1,Nay,1,,,0
Arizona 5,Andy Biggs,Republican,14,https://en.wikipedia.org/wiki/Arizona%27s_5th_congressional_district,https://en.wikipedia.org/wiki/Andy_Biggs,Yea,,-1,Yea,-1,,,-2
Arizona 6,Juan Ciscomani,Republican,15,https://en.wikipedia.org/wiki/Arizona%27s_6th_congressional_district,https://en.wikipedia.org/wiki/Juan_Ciscomani,Yea,,-1,Yea,-1,,,-2
Arizona 7,Raúl Grijalva,Democratic,16,https://en.wikipedia.org/wiki/Arizona%27s_7th_congressional_district,https://en.wikipedia.org/wiki/Ra%C3%BAl_Grijalva,Not Voting,,0,Not Voting,0,,,0
Arizona 8,Abraham Hamadeh,Republican,17,https://en.wikipedia.org/wiki/Arizona%27s_8th_congressional_district,https://en.wikipedia.org/wiki/Abraham_Hamadeh,Yea,,-1,Yea,-1,,,-2
Arizona 9,Paul Gosar,Republican,18,https://en.wikipedia.org/wiki/Arizona%27s_9th_congressional_district,https://en.wikipedia.org/wiki/Paul_Gosar,Yea,,-1,Yea,-1,,,-2
Arkansas 1,Rick Crawford,Republican,19,https://en.wikipedia.org/wiki/Arkansas%27s_1st_congressional_district,https://en.wikipedia.org/wiki/Rick_Crawford_(politician),Yea,,-1,Yea,-1,,,-2
Arkansas 2,French Hill,Republican,20,https://en.wikipedia.org/wiki/Arkansas%27s_2nd_congressional_district,https://en.wikipedia.org/wiki/French_Hill_(politician),Yea,,-1,Yea,-1,,,-2
